id,start,destination,price
309,Harlingen,Nashua,1212.86
310,Montgomery,Alexandria,1727.58
311,Lorain,Denver,194.4
312,Providence,Murrieta,843.15
313,Amarillo,Henderson,2068.53
314,Lubbock,Allentown,1353.18
315,Pomona,Lowell,1333.61
316,Thousand Oaks,Santa Maria,2022.31
317,Pittsburgh,Richmond,780.04
318,Glendale,Independence,1997.45
319,Arlington,Yakima,2269.78
320,Evansville,Athens,2488.47
321,Athens,Louisville,1944.08
322,Davidson County,Sioux Falls,1479.9
323,Norman,Miami,577.35
324,Saint Petersburg,Portland,785.69
325,York,Daly City,1571.79
326,Charleston,Naperville,2066.99
327,Wilmington,Boulder,2261.08
328,Tulsa,Roseville,432.36
329,Lewisville,Simi Valley,1136.14
330,Rancho Cucamonga,Olympia,655.35
331,Havre de Grace,Odessa,1775.68
332,Kaneohe,Norwich,1207.02
333,Seattle,Waterloo,2317.88
334,Sterling Heights,Asheville,981.3
335,College Station,Punta Gorda,1171.77
336,Irving,Sacramento,202.89
337,Denton,Anchorage,2197.39
338,Leominster,Orem,1615.82
339,Grayslake,Alexandria,1489.91
340,Port Saint Lucie,Riverside,787.61
341,Fort Walton Beach,Manchester,2439.06
342,Savannah,Jersey City,2427.44
343,Mobile,Westminster,395.92
344,Madison,Yakima,1340.08
345,Lakeland,College Station,1195.0
346,Omaha,Columbus,1629.06
347,Davidson County,Muskegon,1499.83
348,Charlotte,Gilbert,679.01
349,Marina,Honolulu,1872.19
350,Santa Rosa,Shreveport,2371.7
351,Fullerton,Canton,2178.51
352,Rockford,Vancouver,2054.13
353,Pensacola,Bradenton,1201.01
354,North Port,Frederick,1166.41
355,Denver,Lexington,2207.17
356,Mesquite,Sacramento,2051.85
357,Kalamazoo,Tuscaloosa,1332.94
358,Lakewood,Tacoma,1016.85
359,Panama City,Augusta,1458.09
360,Rochester,Reading,1345.67
361,Monterey,Bellevue,1241.05
362,Rochester,Allentown,497.85
363,Fort Smith,Cary,497.81
364,San Jose,Stamford,1694.34
365,Tulsa,Huntington,2066.11
366,New Bedford,Barnstable,282.04
367,Colorado Springs,Newport News,515.94
368,West Covina,Westminster,2023.45
369,Huntsville,Tallahassee,1469.0
370,Lafayette,Mesquite,288.04
371,Santa Ana,South Lyon,1766.68
372,Indianapolis,Danbury,1156.3
373,Vallejo,Cambridge,1685.19
374,Columbia,Costa Mesa,2403.88
375,Paterson,Little Rock,1522.0
376,Glendale,Tacoma,1214.16
377,Westminster,Port Saint Lucie,1917.93
378,Overland Park,Oklahoma City,726.49
379,Harlingen,West Valley City,2433.81
380,Tulsa,Irvine,442.14
381,Cape Coral,Coral Springs,1476.24
382,Huntington Beach,Elizabeth,2337.3
383,Concord,Salinas,2156.25
384,Fort Lauderdale,North Charleston,899.32
385,Roanoke,Paterson,1621.02
386,Victorville,Lewisville,901.3
387,Port St. Lucie,Punta Gorda,478.99
388,Aurora,Des Moines,1908.42
389,Murfreesboro,Modesto,1029.22
390,Los Angeles,Cambridge,2200.32
391,Orlando,Tuscaloosa,2149.66
392,St. Louis,York,386.03
393,Brighton,Rochester,2020.07
394,Cincinnati,Baton Rouge,797.06
395,Port Arthur,Ocala,1323.42
396,Lowell,Melbourne,1265.4
397,Santa Clarita,Santa Ana,1129.0
398,Jackson,Cathedral City,1000.43
399,Duluth,Columbia,1735.0
400,Glendale,Houma,1769.55
401,Seattle,New York,413.31
402,Green Bay,Kansas City,545.22
403,Gastonia,Palmdale,1211.68
404,Myrtle Beach,Columbus,109.85
405,Arlington,Anaheim,2309.53
406,Orange,Pembroke Pines,819.14
407,Norwich,Fremont,2247.19
408,South Lyon,Eugene,2251.86
409,Cedar Rapids,San Bernardino,2436.11
410,Aberdeen,Winter Haven,744.47
411,Fort Lauderdale,Raleigh,2458.76
412,Winston,Danbury,1617.21
413,Manchester,Reading,207.12
414,North Las Vegas,Tacoma,1141.23
415,Port St. Lucie,Manchester,2497.26
416,Lacey,Howell,1735.92
417,Murfreesboro,Lowell,344.36
418,Concord,Scottsdale,1331.01
419,Marysville,Santa Rosa,1985.66
420,Roanoke,Normal,1968.95
421,Merced,Norwich,1306.22
422,Newark,High Point,1332.96
423,Kaneohe,Davenport,122.37
424,Sarasota,Eugene,1184.48
425,El Monte,Boulder,1381.07
426,Norwalk,Deltona,1114.79
427,Chesapeake,Palm Springs,1075.55
428,Indianapolis,Lafayette,224.62
429,Appleton,Huntsville,62.48
430,Muskegon,Orlando,608.24
431,Victorville,Santa Barbara,2159.12
432,Bethlehem,Richland,409.14
433,Barnstable,Indianapolis,185.12
434,Houston,Ocala,1609.21
435,Yonkers,GreenBay,2111.56
436,Denton,Dayton,2200.93
437,Danbury,Clarksville,1129.58
438,Hickory,New Bedford,154.84
439,Yonkers,Odessa,1598.95
440,Hampton,Greensboro,1913.68
441,Minneapolis,Lexington,664.21
442,Mesquite,Cape Coral,2312.2
443,Bellevue,Lincoln,553.1
444,Savannah,McAllen,2465.45
445,Tuscaloosa,McAllen,655.87
446,Santa Clarita,Oklahoma City,1416.77
447,Syracuse,Marysville,1185.6
448,Stockton,Palmdale,1786.97
449,New London,Kansas City,2405.68
450,Allentown,Kalamazoo,102.91
451,Irvine,Fort Collins,2280.52
452,Ocala,Saint Paul,1825.85
453,Pasadena,Normal,2219.64
454,Omaha,Dallas,798.7
455,Lake Charles,Jackson,945.03
456,New London,Waterloo,1457.24
457,Antioch,Ogden,421.67
458,Joliet,Kalamazoo,1596.21
459,Torrance,Columbus,1235.3
460,Montgomery,Kansas City,1085.62
461,Tacoma,Jackson,1154.46
462,Amarillo,Visalia,456.74
463,Indianapolis,Daytona Beach,702.21
464,Denton,Athens,2249.66
465,Santa Rosa,Kailua,295.5
466,Kennewick,Ogden,1708.55
467,Chattanooga,Simi Valley,627.94
468,Port St. Lucie,Lexington,958.76
469,Bethlehem,Harrisburg,1851.91
470,Norwalk,Hesperia,727.34
471,Stockton,Phoenix,1802.44
472,Boston,Athens,785.01
473,Pomona,Macon,616.36
474,Grand Rapids,San Francisco,1311.21
475,Sarasota,Killeen,739.68
476,Richland,Beaumont,1242.33
477,Omaha,Manchester,1601.44
478,Corpus Christi,Richmond County,102.76
479,Burbank,Fontana,1991.46
480,Antioch,Daly City,2060.9
481,GreenBay,Sioux Falls,487.01
482,Palmdale,Apple Valley,1037.48
483,Marina,Jersey City,2415.4
484,Riverside,Port St. Lucie,1169.15
485,Norwich,Salinas,683.41
486,Coral Springs,Akron,952.46
487,Murfreesboro,Palm Springs,1169.64
488,Fairfield,Fresno,1019.33
489,Arvada,Fort Lauderdale,126.31
490,Rancho Cucamonga,Seattle,806.14
491,Gulfport-Biloxi,Sioux City,1785.39
492,Daytona Beach,Berkeley,2106.9
493,Detroit,Bakersfield,267.57
494,Poughkeepsie,Torrance,1918.13
495,Fort Walton Beach,Hialeah,1792.75
496,Ontario,Sterling Heights,595.94
497,Phoenix,Tacoma,1364.03
498,Fullerton,Costa Mesa,2462.22
499,Pompano Beach,Youngstown,2277.1
500,Provo,Waterloo,430.29
501,Shreveport,Berkeley,2493.55
502,Billings,Richmond County,1579.09
503,Frederick,Amarillo,1756.29
504,Winter Haven,Panama City,1999.33
505,Lakeland,Norfolk,1129.9
506,Olathe,Richland,869.87
507,St. Petersburg,Downey,250.13
508,Little Rock,Kailua,1939.01
509,Mesa,Fairfield,2276.68
510,Jacksonville,Tampa,1899.84
511,Torrance,Kalamazoo,72.5
512,Springfield,Barnstable,938.42
513,Chesapeake,Tempe,1195.54
514,Modesto,Pompano Beach,1564.27
515,Escondido,Kailua,1466.99
516,Shreveport,Minneapolis,2456.21
517,Pasadena,Vallejo,2491.43
518,Irving,Olympia,617.29
519,Austin,Buffalo,1136.5
520,Gastonia,Allentown,2204.45
521,North Port,Amarillo,236.62
522,Anaheim,Appleton,2232.3
523,Rochester,Toledo,473.31
524,Olathe,San Bernardino,2367.85
525,Bremerton,Norfolk,694.95
526,San Jose,McAllen,2381.03
527,Normal,Boise,211.07
528,Racine,Wilmington,62.48
529,Burbank,Provo,389.04
530,Las Vegas,Vallejo,121.27
531,St. Louis,Victorville,1148.6
532,Carrollton,Racine,1724.36
533,Peoria,Clarksville,371.21
534,South Lyon,Garland,492.91
535,Grayslake,High Point,1564.29
536,Flint,Hampton,2420.55
537,Kissimmee,Waterbury,100.78
538,Peoria,Ontario,2026.55
539,Deltona,Stockton,1168.26
540,Davenport,Champaign,1547.72
541,Lansing,Green Bay,734.63
542,Baltimore,Bradenton,1470.22
543,Flint,Kissimmee,2284.39
544,Spokane,Winter Haven,778.54
545,Colorado Springs,Kenosha,221.02
546,Appleton,Sterling Heights,2302.22
547,Bakersfield,Roanoke,1278.98
548,Richmond,Lacey,1630.09
549,Denton,Tempe,1066.02
550,Bakersfield,Victorville,1298.2
551,Leominster,Lewisville,2147.26
552,Temecula,Kissimmee,2492.19
553,Round Lake Beach,Hollywood,2275.84
554,Jackson,Appleton,1277.45
555,Clearwater,Vero Beach,1234.59
556,Harlingen,Lincoln,1351.23
557,Lacey,Bonita Springs,2151.84
558,Hagerstown,Virginia Beach,134.68
559,Savannah,Pompano Beach,1890.97
560,Cedar Rapids,Bethlehem,174.45
561,Fort Wayne,Rockford,699.81
562,McHenry,Sioux Falls,1345.89
563,Vero Beach,Chesapeake,1447.31
564,Howell,Cathedral City,157.28
565,Riverside,Naples,471.22
566,Clarke County,Atlantic City,322.87
567,Bradenton,Minneapolis,2417.48
568,Nashua,Shreveport,1124.08
569,San Bernardino,Bridgeport,2173.11
570,Hampton,Mesa,1988.11
571,Torrance,Orlando,2430.27
572,Knoxville,Warren,799.64
573,Barnstable,Santa Cruz,1335.74
574,Provo,Amarillo,1178.95
575,Melbourne,Vallejo,1297.19
576,Marysville,Springfield,1852.75
577,Arlington,Riverside,766.45
578,Oceanside,Havre de Grace,1787.35
579,Apple Valley,McAllen,2343.32
580,Olathe,Los Angeles,771.55
581,Fontana,Punta Gorda,1548.22
582,Hampton,Modesto,1130.79
583,Syracuse,Lacey,56.78
584,Pembroke Pines,West Covina,2367.77
585,Richmond County,Stockton,1293.96
586,Tallahassee,Cary,2058.7
587,Poughkeepsie,Portsmouth,239.52
588,San Bernardino,Irving,338.39
589,Orange,Provo,1303.34
590,Honolulu,Utica,1442.38
591,Fullerton,Olympia,1811.84
592,Birmingham,West Covina,1204.99
593,Myrtle Beach,Gastonia,401.99
594,Muskegon,New Orleans,537.42
595,Hesperia,Grand Rapids,1355.7
596,Westminster,Trenton,2013.23
597,Dallas,Albuquerque,809.87
598,San Francisco,Paterson,2182.8
599,Sunnyvale,Raleigh,1671.66
600,Hickory,Orlando,1141.27
601,Howell,Oakland,854.13
602,Scottsdale,Fontana,1237.3
603,Charlotte,Olympia,1234.11
604,Daytona Beach,Harrisburg,1861.27
605,Omaha,Fitchburg,1853.63
606,Arvada,Waterbury,481.34
607,Corona,Sterling Heights,1332.49
608,Spokane,Ogden,309.21
609,Glendale,Denver,1244.11
610,Panama City,Kansas City,1909.67
611,Bridgeport,Santa Barbara,1452.55
612,Provo,Canton,1860.64
613,St. Petersburg,Springfield,121.73
614,Richland,Kenosha,564.57
615,Kansas City,Greensboro,1578.52
616,Arvada,Irving,2005.5
617,Reading,Newark,1921.34
618,Sebastian,Bryan,2280.36
619,Chula Vista,St. Paul,1327.7
620,Fargo,Dayton,1571.66
621,Punta Gorda,McHenry,639.71
622,Fargo,Palmdale,650.28
623,Garland,Tuscaloosa,312.67
624,Tempe,Norfolk,2344.09
625,Orem,Orlando,1316.76
626,Youngstown,Toledo,985.06
627,Baltimore,Abilene,1373.72
628,Harlingen,Sacramento,2328.67
629,Layton,Clearwater,2349.12
630,Baton Rouge,Phoenix,2388.72
631,Tallahassee,Kennewick,272.19
632,Santa Maria,Poughkeepsie,810.76
633,Coral Springs,Oxnard,689.65
634,Fort Collins,Yakima,1548.38
635,Richland,Huntington,1921.25
636,Kenosha,Joliet,1009.63
637,Tucson,Philadelphia,296.65
638,Hampton,Muskegon,1311.4
639,Boulder,Punta Gorda,899.05
640,Panama City,Winston,1298.16
641,Rockford,Santa Clarita,1160.88
642,Oakland,Pompano Beach,2223.94
643,Vero Beach,Orem,2293.35
644,Palmdale,Garden Grove,1338.47
645,Shreveport,Roanoke,107.31
646,Fontana,Cleveland,819.49
647,Tampa,Murfreesboro,2461.15
648,Waco,Simi Valley,1927.77
649,Worcester,Fort Walton Beach,2219.91
650,Gilbert,Erie,1556.69
651,Youngstown,Barnstable,2080.59
652,Tuscaloosa,Kennewick,1650.74
653,Atlantic City,Denver,1259.88
654,Sioux Falls,Pembroke Pines,1310.53
655,Boulder,Mesquite,1708.09
656,Evansville,Riverside,502.45
657,Fort Lauderdale,Santa Clara,298.17
658,College Station,Bethlehem,2382.17
659,Lewisville,Victorville,575.91
660,Gastonia,Oakland,728.02
661,Baltimore,Salem,997.12
662,Corpus Christi,Lake Charles,654.65
663,Minneapolis,Orem,1646.29
664,New York,Detroit,1260.57
665,Lorain,Roanoke,103.41
666,Albuquerque,Seattle,791.25
667,Clarksville,Nashua,1792.7
668,Utica,Ann Arbor,2389.27
669,Sacramento,Lafayette,1603.93
670,Cambridge,Philadelphia,2047.38
671,Medford,Poughkeepsie,2488.39
672,Seattle,Oklahoma City,82.65
673,Vallejo,Mesa,1320.78
674,Lakewood,Antioch,72.2
675,Murfreesboro,Duluth,2435.17
676,Arvada,Huntington Beach,2397.87
677,Grayslake,Panama City,413.99
678,Daly City,Reading,993.66
679,Saint Petersburg,Salem,2078.27
680,Boulder,Provo,985.39
681,Sioux City,Orange,465.0
682,Pueblo,Huntington Beach,974.64
683,Lakewood,Normal,1741.23
684,Saint Paul,Elkhart,1975.29
685,Bethlehem,Orange,1341.2
686,Newburgh,Bel Air,1887.93
687,Austin,Richland,599.18
688,Richmond County,Sunnyvale,2394.24
689,Peoria,Chicago,2319.8
690,Bradenton,Saginaw,494.44
691,Ocala,Houma,1420.48
692,Santa Clarita,Orem,431.82
693,Columbus,Waterbury,1547.46
694,Atlanta,Lakeland,2369.8
695,Torrance,Cedar Rapids,2475.19
696,Kalamazoo,Odessa,1321.09
697,South Bend,Palm Springs,217.24
698,Cleveland,Youngstown,1513.08
699,Yakima,Shreveport,1547.53
700,Thousand Oaks,Richmond County,64.81
701,Salt Lake City,Thornton,1644.72
702,Rockford,Norman,1159.84
703,Ogden,Ann Arbor,1797.74
704,Gastonia,Washington,1601.57
705,Oxnard,Newburgh,779.19
706,Melbourne,Saginaw,578.83
707,Anaheim,Westminster,2235.98
708,Bryan,Corona,934.9
709,Sarasota,Lowell,1612.67
710,Panama City,Odessa,1298.31
711,Chula Vista,Joliet,680.76
712,Green Bay,Ocala,2158.22
713,Westminster,Spokane,492.85
714,Colorado Springs,Bel Air,836.42
715,Syracuse,Winston,2159.02
716,Pasadena,Cleveland,134.63
717,Victorville,Birmingham,562.23
718,Port Orange,Jersey City,1364.07
719,Athens,Lubbock,150.52
720,Minneapolis,Providence,1552.41
721,Akron,Syracuse,1513.64
722,Cedar Rapids,Vallejo,1779.06
723,Hayward,Santa Clarita,1803.35
724,Ocala,San Francisco,1250.37
725,Harlingen,Champaign,681.84
726,Roseville,Eugene,1018.52
727,Burbank,Fitchburg,1027.76
728,Long Beach,Duluth,1726.22
729,Burbank,Pompano Beach,2005.27
730,Richland,Fort Smith,198.3
731,Greensboro,Mission Viejo,411.48
732,Bryan,Lacey,2325.93
733,Huntington,Houston,1324.59
734,Fullerton,Fargo,1915.76
735,Lakewood,Chesapeake,597.23
736,Roseville,Corpus Christi,2451.04
737,Topeka,Sioux City,1964.05
738,Seaside,Richland,1558.26
739,Fort Wayne,Ann Arbor,1719.72
740,Omaha,Racine,1687.72
741,Wichita,Aurora,1479.0
742,Lake Charles,Tampa,1744.32
743,New Haven,Bonita Springs,1903.8
744,Berkeley,Gilbert,493.25
745,Santa Cruz,Baton Rouge,2450.0
746,Barnstable,Tampa,935.28
747,Orange,Stamford,124.1
748,Green Bay,Springdale,469.78
749,San Francisco,Cathedral City,2105.8
750,Sioux City,Austin,1163.6
751,Detroit,Clearwater,1635.26
752,Escondido,Lincoln,567.45
753,Minneapolis,Tampa,850.59
754,Deltona,North Port,679.17
755,Saginaw,Duluth,2120.36
756,Ocala,Memphis,361.96
757,Lafayette,Charlotte,1266.78
758,Seattle,Champaign,1194.55
759,Irving,Hemet,155.34
760,Richmond County,Irvine,1875.91
761,Bonita Springs,Marina,1335.85
762,Modesto,Sunnyvale,1274.72
763,Houma,Aberdeen,546.98
764,Omaha,Buffalo,2346.33
765,Waco,Westminster,954.11
